Name,Line,Direction,Station from (A),From (RODS name),From (NLC),Station to (B),To (RODS name),To (NLC),Capacity,Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Bakerloo  Southbound: Harrow & Wealdstone to Kenton,Bakerloo ,Southbound,HARROW & WEALDSTONE,Harrow & Wealdstone,597,KENTON,Kenton,620,17520,1.74,2.23,2.50,2.50
Bakerloo  Southbound: Kenton to South Kenton,Bakerloo ,Southbound,KENTON,Kenton,620,SOUTH KENTON,South Kenton,709,17520,1.40,1.88,2.00,2.00
Bakerloo  Southbound: South Kenton to North Wembley,Bakerloo ,Southbound,SOUTH KENTON,South Kenton,709,NORTH WEMBLEY,North Wembley,659,17520,0.90,1.50,1.50,1.50
Bakerloo  Southbound: North Wembley to Wembley Central,Bakerloo ,Southbound,NORTH WEMBLEY,North Wembley,659,WEMBLEY CENTRAL,Wembley Central,751,17520,1.27,1.92,2.06,2.06
Bakerloo  Southbound: Wembley Central to Stonebridge Park,Bakerloo ,Southbound,WEMBLEY CENTRAL,Wembley Central,751,STONEBRIDGE PARK,Stonebridge Park,717,17520,1.71,2.23,3.13,3.13
Bakerloo  Southbound: Stonebridge Park to Harlesden,Bakerloo ,Southbound,STONEBRIDGE PARK,Stonebridge Park,717,HARLESDEN,Harlesden,596,17520,1.53,2.13,2.40,2.40
Bakerloo  Southbound: Harlesden to Willesden Junction,Bakerloo ,Southbound,HARLESDEN,Harlesden,596,WILLESDEN JUNCTION,Willesden Junction,766,17520,1.05,1.65,2.23,2.23
Bakerloo  Southbound: Willesden Junction to Kensal Green,Bakerloo ,Southbound,WILLESDEN JUNCTION,Willesden Junction,766,KENSAL GREEN,Kensal Green,617,17520,1.50,2.47,2.50,2.50
Bakerloo  Southbound: Kensal Green to Queen's Park,Bakerloo ,Southbound,KENSAL GREEN,Kensal Green,617,QUEENS PARK,Queen's Park,680,17520,1.32,2.65,4.72,4.72
Bakerloo  Southbound: Queen's Park to Kilburn Park,Bakerloo ,Southbound,QUEENS PARK,Queen's Park,680,KILBURN PARK,Kilburn Park,623,17520,0.79,1.42,1.50,1.50
Bakerloo  Southbound: Kilburn Park to Maida Vale,Bakerloo ,Southbound,KILBURN PARK,Kilburn Park,623,MAIDA VALE,Maida Vale,637,17520,0.88,1.48,2.00,2.00
