From,From (NLC),To,To (NLC),Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Weekday total,Distance,Distance,RoadDistance,DrivingTime_Hours,LCH
Acton Town,500,Barbican,501,0,0,0,0,0,0,1,12633,12.75972917,15.749,0.595,59.625
Acton Town,500,Alperton,505,3,14,38,15,0,0,325,4425,4.427093434,5.368,0.225277778,31.89583333
Acton Town,500,Angel,507,0,0,1,0,2,0,11,12378,12.4957055,14.394,0.521666667,54.125
Acton Town,500,Arsenal,510,0,0,3,0,0,0,19,13447,13.55368379,17.075,0.661944444,64.64583333
Acton Town,500,Baker Street,511,0,4,0,0,0,0,12,8709,8.791876138,10.578,0.323333333,39.25
Acton Town,500,Bank / Monument,513,8,38,0,38,0,0,244,13171,13.3047022,18.185,0.804166667,75.3125
Acton Town,500,Barons Court,516,0,39,19,11,0,0,264,4738,4.782470745,7.984,0.274444444,35.58333333
Acton Town,500,Bayswater,517,0,3,1,0,0,0,19,6401,6.464334142,10.389,0.349722222,41.22916667
Acton Town,500,Belsize Park,519,1,2,0,0,0,0,6,9541,9.607411549,14.562,0.505555556,52.91666667
Acton Town,500,Blackfriars,521,0,0,1,0,0,0,8,12169,12.29267115,16.473,0.658611111,64.39583333
Acton Town,500,Blackhorse Road,522,0,0,0,0,7,2,29,18800,18.94257275,32.001,0.7925,74.4375
Acton Town,500,Bond Street,524,0,10,5,3,0,0,69,9043,9.133816768,11.799,0.4275,47.0625
Acton Town,500,Borough,525,0,1,0,0,0,0,2,12732,12.86199862,17.319,0.685277778,66.39583333
Acton Town,500,Boston Manor,526,0,0,0,6,0,0,17,3179,3.209511319,3.607,0.158333333,26.875
Acton Town,500,Bounds Green,527,0,0,2,0,0,0,11,15759,15.82816834,20.538,0.538333333,55.375
Acton Town,500,Camden Town,535,0,0,0,2,0,0,6,10251,10.33864074,13.261,0.451111111,48.83333333
Acton Town,500,Chancery Lane,541,1,8,2,2,0,0,46,11708,11.82509744,14.627,0.548611111,56.14583333
Acton Town,500,Embankment,542,3,3,2,0,0,0,25,10823,10.93373642,13.654,0.538333333,55.375
Acton Town,500,Chiswick Park,545,0,0,4,0,0,0,24,1242,1.24752542,1.316,0.056666667,19.25
Acton Town,500,Clapham Common,547,0,0,2,0,0,0,11,10731,10.81972988,15.257,0.588611111,59.14583333
Acton Town,500,Covent Garden,553,0,13,7,13,0,0,120,10732,10.84101808,13.874,0.5275,54.5625
Acton Town,500,Ealing Broadway,560,7,16,36,76,0,0,503,2023,2.033657649,3.41,0.144444444,25.83333333
Acton Town,500,Ealing Common,561,0,0,0,6,0,0,19,984,0.986495695,1.839,0.091111111,21.83333333
Acton Town,500,Earl's Court,562,0,43,8,13,16,3,273,5799,5.856235326,8.719,0.289166667,36.6875
Acton Town,500,Eastcote,564,3,3,0,0,0,0,15,11458,11.51188672,15.107,0.435555556,47.66666667
Acton Town,500,East Ham,566,0,0,0,8,0,0,23,23092,23.32145576,41.872,0.956388889,86.72916667
Acton Town,500,Farringdon,577,5,2,0,5,0,0,28,12131,12.25218156,15,0.551388889,56.35416667
Acton Town,500,Finsbury Park,580,12,16,0,0,0,0,72,13709,13.81307354,17.037,0.628888889,62.16666667
Acton Town,500,Fulham Broadway,581,5,27,0,0,0,0,91,6342,6.3966085,8.739,0.318888889,38.91666667
Acton Town,500,Gants Hill,582,0,0,2,0,0,0,12,25091,25.31996095,36.246,0.815833333,76.1875
Acton Town,500,Gloucester Road,583,0,15,4,0,0,0,69,6724,6.791430339,9.088,0.293611111,37.02083333
Acton Town,500,Goodge Street,586,0,6,1,0,0,0,26,10153,10.25276048,12.553,0.439444444,47.95833333
Acton Town,500,Great Portland Street,588,0,0,0,0,0,0,1,9618,9.710030641,12.375,0.403333333,45.25
Acton Town,500,Greenford,589,0,0,1,5,0,0,19,6280,6.310918277,8.72,0.28,36
Acton Town,500,Green Park,590,8,23,8,0,0,0,133,9417,9.512868178,12.049,0.432777778,47.45833333
Acton Town,500,Hammersmith (Dis),593,27,130,39,44,31,9,929,3905,3.942317385,5.103,0.223333333,31.75
Acton Town,500,Harrow-on-the-Hill,598,0,0,1,0,0,0,8,9349,9.360932703,11.075,0.417777778,46.33333333
Acton Town,500,Wood Lane,599,0,0,4,0,0,0,25,3984,4.021838047,6.205,0.241944444,33.14583333
Acton Town,500,High Street Kensington,605,0,4,2,2,1,0,31,6006,6.067146156,10.251,0.354444444,41.58333333
Acton Town,500,Hillingdon,606,0,0,0,7,0,0,22,12938,13.04361397,15.406,0.343055556,40.72916667
Acton Town,500,Holborn,607,3,28,7,0,0,0,130,11087,11.1980438,13.836,0.506666667,53
Acton Town,500,Holloway Road,609,2,5,0,0,0,0,18,12701,12.80511895,16.349,0.637777778,62.83333333
Acton Town,500,Hounslow Central,611,6,17,15,0,0,0,154,6881,6.932313028,8.711,0.271111111,35.33333333
Acton Town,500,Hounslow East,612,0,0,2,12,0,0,46,6174,6.218451388,8.303,0.266388889,34.97916667
Acton Town,500,Hounslow West,613,32,19,0,0,1,16,168,7930,7.996514453,10.027,0.338611111,40.39583333
Acton Town,500,Hyde Park Corner,614,5,6,25,10,0,0,208,8729,8.818161565,11.714,0.437777778,47.83333333
Acton Town,500,Ickenham,615,0,0,7,0,0,0,39,12895,12.99057395,17.58,0.423333333,46.75
Acton Town,500,Kensington (Olympia),618,0,4,0,0,0,0,11,4846,4.894867582,7.768,0.25,33.75
Acton Town,500,King's Cross St. Pancras,625,13,20,8,14,26,0,254,11149,11.25439826,13.102,0.449166667,48.6875
Acton Town,500,Knightsbridge,626,9,33,6,0,0,0,151,8182,8.265797303,11.208,0.414166667,46.0625
Acton Town,500,Ladbroke Grove,627,0,0,0,8,0,0,23,5017,5.06272606,11.058,0.301388889,37.60416667
Acton Town,500,Leicester Square,631,0,17,8,13,10,6,186,10456,10.56225513,13.97,0.54,55.5
Acton Town,500,Liverpool Street,634,0,26,5,27,8,0,212,13652,13.78995098,17.014,0.704166667,67.8125
Acton Town,500,London Bridge,635,0,11,0,0,0,0,32,13273,13.40947997,17.264,0.735555556,70.16666667
Acton Town,500,Mansion House,639,0,8,0,0,0,0,23,12792,12.92214796,16.66,0.674722222,65.60416667
Acton Town,500,Marylebone,641,0,1,0,0,0,0,3,8309,8.387640784,10.304,0.314722222,38.60416667
