Name (RODS),name,NLC,Lat,Long,CoordX,CoordY,FloodRisk30a,FloodRisk100a,FloodRisk1000a,DepthBelowGround,NearestDepot,DistanceToNearestDepot,NearestElectricitySubstation,FloodHazardExposure,RepairTime
Acton Town,ACTON TOWN,500,51.5028,-0.2801,9927,6072,0.0686,0.1077,0.1077,5.5,Ealing Common,564,32,1,1.022544949
Aldgate,ALDGATE,502,51.5143,-0.0755,16065,5727,0.001,0.0011,0.0011,7.2,London Road,2721,8,1,1.108856642
Aldgate East,ALDGATE EAST,503,51.5154,-0.0726,16152,5694,0,0.0175,0.0175,8.99,London Road,2951,52,1,1.11804988
Alperton,ALPERTON,505,51.5407,-0.2997,9339,4935,0.0076,0.034,0.034,-6.8,Stonebridge Park,1668,32,1,1.066705683
Amersham,AMERSHAM,506,51.6736,-0.607,120,948,0.0109,0.0228,0.0228,-4.3,West Ruislip,17315,10,1,1.692600826
Angel,ANGEL,507,51.5322,-0.1058,15156,5190,0.0191,0.0655,0.0655,35.65,London Road,3812,20,1,2.652488362
Archway,ARCHWAY,508,51.5653,-0.1353,14271,4197,0.0079,0.1015,0.1015,21.27,Golders Green,3991,82,1,2.659623307
Arnos Grove,ARNOS GROVE,509,51.6164,-0.1331,14337,2664,0.0051,0.0255,0.0255,5.4,Cockfosters,3610,82,1,1.14441495
Arsenal,ARSENAL,510,51.5586,-0.1059,15153,4398,0.0331,0.1049,0.1049,8.24,Golders Green,6121,30,1,1.244821665
Baker Street,BAKER STREET,511,51.5226,-0.1571,13617,5478,0.0171,0.1096,0.1096,14.025,Queen's Park,3625,31,1,2.644993968
Balham,BALHAM,512,51.4431,-0.1525,13755,7863,0.0084,0.042,0.042,13.38,Morden,5906,92,1,2.736257004
Bank / Monument,BANK / MONUMENT,513,51.5133,-0.0886,15672,5757,0,0,0,23.38,London Road,2046,80,1,2.581854869
Barbican,BARBICAN,501,51.5204,-0.0979,15393,5544,0,0.0062,0.0062,8.6,London Road,2546,97,1,1.101849351
Barking,BARKING,514,51.5396,0.081,20760,4968,0.0131,0.0577,0.0577,2.6,Stratford Market,5538,83,1,1.221517537
Barkingside,BARKINGSIDE,515,51.5856,0.0887,20991,3588,0,0.0445,0.0445,-0.5,Hainault,2509,39,1,1.100371765
Barons Court,BARONS COURT,516,51.4905,-0.2139,11913,6441,0.2775,0.3279,0.3279,2.55,Hammersmith,1043,93,1,1.041739256
Bayswater,BAYSWATER,517,51.5121,-0.1879,12693,5793,0.0084,0.0191,0.0191,7.04,White City,2466,86,1,1.098640743
Becontree,BECONTREE,518,51.5403,0.127,22140,4947,0.0138,0.0625,0.0625,4.9,Hainault,7880,28,1,1.315213229
Belsize Park,BELSIZE PARK,519,51.5504,-0.1642,13404,4644,0,0.0298,0.0298,35.585,Golders Green,3137,59,1,2.62548013
Bermondsey,BERMONDSEY,787,51.4979,-0.0637,16419,6219,0.0036,0.0214,0.0214,14.5,London Road,2832,11,1,2.613279866
Bethnal Green,BETHNAL GREEN,520,51.527,-0.0549,16683,5346,0,0.0055,0.0055,15.97,Stratford Market,3883,76,1,2.655302086
Blackfriars,BLACKFRIARS,521,51.512,-0.1031,15237,5796,0.0387,0.083,0.083,7.3,London Road,1570,7,1,1.062796901
